link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,5929,3,0,393899,-82895,0,3,81,1,1
2,5929,3,0,393899,-82895,0,3,81,1,1
1,5930,3,0,393899,-82895,0,9,81,1,1
1,5931,3,0,393899,-82895,2,16,81,1,1
2,5931,3,0,393899,-82895,2,16,81,1,1
1,5932,3,0,393899,-82895,4,22,81,1,1
2,5932,3,0,393899,-82895,4,22,81,1,1
1,5934,3,0,393899,-82895,9,35,81,1,1
2,5934,3,0,393899,-82895,9,35,81,1,1
1,5935,3,0,393899,-82895,13,41,81,1,1
2,5935,3,0,393899,-82895,13,41,81,1,1
1,5937,3,0,393899,-82894,23,54,81,1,1
2,5937,3,0,393899,-82894,23,54,81,1,1
1,5938,3,0,393899,-82894,29,61,81,1,1
2,5938,3,0,393899,-82894,29,61,81,1,1
1,5939,3,0,393899,-82894,35,67,81,1,1
2,5939,3,0,393899,-82894,35,67,81,1,1
1,5940,3,0,393899,-82894,42,73,81,1,1
2,5940,3,0,393899,-82894,42,73,81,1,1
1,5941,3,0,393899,-82894,50,80,81,1,1
2,5941,3,0,393899,-82894,50,80,81,1,1
1,5943,3,0,393899,-82894,67,93,81,1,1
2,5943,3,0,393899,-82894,67,93,81,1,1
1,5944,3,0,393899,-82894,76,99,81,1,1
2,5944,3,0,393899,-82894,76,99,81,1,1
1,5946,3,0,393899,-82894,97,112,81,1,1
1,5949,3,0,393900,-82893,132,130,81,1,1
2,5949,3,0,393900,-82893,132,130,81,1,1
1,5950,3,0,393899,-82893,144,135,82,1,1
2,5950,3,0,393899,-82893,144,135,82,1,1
1,5955,3,0,393899,-82892,210,159,81,1,1
2,5955,3,0,393899,-82892,210,159,81,1,1
1,5956,3,0,393899,-82892,224,162,81,1,1
1,5957,3,0,393899,-82891,238,166,81,1,1
2,5957,3,0,393899,-82891,238,166,81,1,1
1,5958,3,0,393899,-82891,251,169,81,1,1
1,5959,3,0,393899,-82891,265,172,81,1,1
1,5960,3,0,393899,-82891,278,174,81,1,1
2,5960,3,0,393899,-82891,278,174,81,1,1
1,5961,3,0,393899,-82891,292,177,81,1,1
1,5963,3,0,393899,-82890,319,181,81,1,1
2,5963,3,0,393899,-82890,319,181,81,1,1
1,5964,3,0,393899,-82889,333,183,81,1,1
2,5964,3,0,393899,-82889,333,183,81,1,1
