,ts,id,T,P
0,118882,BARO0,2533,79096
1,118882,BARO1,2563,78757
2,118882,BARO2,2542,78948
3,118892,BARO0,2531,79054
4,118892,BARO1,2563,78776
5,118892,BARO2,2542,78948
6,118902,BARO0,2531,79054
7,118902,BARO1,2565,78759
8,118902,BARO2,2544,78951
9,118912,BARO0,2531,79074
10,118912,BARO1,2565,78779
11,118912,BARO2,2546,78934
12,118922,BARO0,2531,79074
13,118922,BARO1,2565,78759
14,118922,BARO2,2544,78951
15,118932,BARO0,2531,79054
16,118932,BARO1,2565,78740
17,118932,BARO2,2544,78951
18,118942,BARO0,2531,79074
19,118942,BARO1,2565,78759
20,118942,BARO2,2546,78934
21,118952,BARO0,2529,79032
22,118952,BARO1,2563,78757
23,118952,BARO2,2544,78970
24,118962,BARO0,2531,79074
25,118962,BARO1,2565,78779
26,118962,BARO2,2544,78951
27,118972,BARO0,2531,79054
28,118972,BARO1,2565,78740
29,118972,BARO2,2546,78954
30,118982,BARO0,2531,79074
31,118982,BARO1,2563,78757
32,118982,BARO2,2544,78951
33,118992,BARO0,2529,79071
34,118992,BARO1,2565,78759
35,118992,BARO2,2547,78937
36,119002,BARO0,2531,79054
37,119002,BARO1,2565,78779
38,119002,BARO2,2544,78951
39,119012,BARO0,2531,79054
40,119012,BARO1,2565,78759
41,119012,BARO2,2547,78957
42,119022,BARO0,2531,79035
43,119022,BARO1,2566,78782
44,119022,BARO2,2544,78931
45,119032,BARO0,2531,79054
46,119032,BARO1,2566,78762
47,119032,BARO2,2544,78951
48,119042,BARO0,2533,79057
49,119042,BARO1,2566,78762
50,119042,BARO2,2544,78951
51,119052,BARO0,2531,79074
52,119052,BARO1,2566,78762
53,119052,BARO2,2544,78931
54,119062,BARO0,2531,79054
55,119062,BARO1,2565,78759
56,119062,BARO2,2546,78974
57,119072,BARO0,2531,79074
58,119072,BARO1,2566,78782
59,119072,BARO2,2547,78957
60,119082,BARO0,2531,79074
61,119082,BARO1,2566,78743
62,119082,BARO2,2544,78931
63,119092,BARO0,2531,79054
64,119092,BARO1,2565,78759
65,119092,BARO2,2546,78954
66,119102,BARO0,2529,79051
67,119102,BARO1,2566,78762
68,119102,BARO2,2544,78970
69,119112,BARO0,2533,79077
70,119112,BARO1,2563,78757
71,119112,BARO2,2546,78954
72,119122,BARO0,2531,79054
73,119122,BARO1,2566,78782
74,119122,BARO2,2547,78957
75,119132,BARO0,2531,79054
76,119132,BARO1,2566,78743
77,119132,BARO2,2546,78934
78,119142,BARO0,2531,79074
79,119142,BARO1,2565,78740
80,119142,BARO2,2546,78954
81,119152,BARO0,2529,79051
82,119152,BARO1,2566,78762
83,119152,BARO2,2546,78954
84,119162,BARO0,2531,79074
85,119162,BARO1,2566,78801
86,119162,BARO2,2544,78951
87,119172,BARO0,2531,79074
88,119172,BARO1,2565,78779
89,119172,BARO2,2546,78954
90,119182,BARO0,2531,79035
91,119182,BARO1,2566,78762
92,119182,BARO2,2544,78931
93,119192,BARO0,2531,79074
94,119192,BARO1,2566,78762
95,119192,BARO2,2547,78937
96,119202,BARO0,2531,79074
97,119202,BARO1,2565,78779
98,119202,BARO2,2546,78974
99,119212,BARO0,2531,79054
100,119212,BARO1,2565,78759
101,119212,BARO2,2544,78931
102,119222,BARO0,2531,79054
